county,county_tier,poverty_county,median_inc_county,code,name,city,full_address,long,lat,district,percent_EDS,SPgrade,EOG_18_19,EOG_quintile
Brunswick,3,19.00,60163,100344,Waccamaw,Ash,"5901 Waccamaw School Road NW, Ash, NC 28420",-78.5152684,34.063384,Brunswick County Schools,73.30,C,56.90,3.00
Brunswick,3,19.00,60163,100310,Jessie Mae Monroe Elementary,Ash,"250 Pea Landing Road NW, Ash, NC 28420",-78.5478958,33.9477454,Brunswick County Schools,73.30,C,52.30,3.00
Buncombe,3,16.60,53960,110318,Black Mountain Elementary,Black Mountain,"100 Flat Creek Road, Black Mountain, NC 28711",-82.3142408,35.6219536,Buncombe County Schools,54.90,C,61.80,2.00
Buncombe,3,16.60,53960,110320,Black Mountain Primary,Black Mountain,"301 East State Street, Black Mountain, NC 28711",-82.3178576,35.6205827,Buncombe County Schools,49.90,C,62.80,2.00
Buncombe,3,16.60,53960,110336,Owen High,Black Mountain,"99 Lake Eden Road, Black Mountain, NC 28711",-82.3734121,35.6189247,Buncombe County Schools,43.20,B,68.30,2.00
Buncombe,3,16.60,53960,110338,Owen Middle,Swannanoa,"730 Old US 70, Swannanoa, NC 28778",-82.3741091,35.6060338,Buncombe County Schools,54.90,C,57.80,3.00
Buncombe,3,16.60,53960,110412,Williams Elementary,Swannanoa,"161 Bee Tree Road, Swannanoa, NC 28778",-82.4025554,35.6042883,Buncombe County Schools,59.70,C,49.80,3.00
Buncombe,3,16.60,53960,110356,Fairview Elementary,Fairview,"1355 Charlotte Hwy, Fairview, NC 28730",-82.411025,35.5228804,Buncombe County Schools,44.00,B,66.90,2.00
Buncombe,3,16.60,53960,11B000,ArtSpace Charter School,Swannanoa,"2030 US Hwy 70, Swannanoa, NC 28778",-82.4288491,35.5948191,Charter Schools,13.80,B,69.40,2.00
Buncombe,3,16.60,53960,110326,Cane Creek Middle,Fletcher,"570 Lower Brush Creek Road, Fletcher, NC 28732",-82.4362091,35.482339,Buncombe County Schools,32.20,B,71.10,2.00
Buncombe,3,16.60,53960,110308,Barnardsville Elementary,Barnardsville,"20 Hillcrest Drive, Barnardsville, NC 28709",-82.459703,35.775168,Buncombe County Schools,61.80,C,56.20,3.00
Buncombe,3,16.60,53960,110306,Reynolds Middle,Asheville,"2 Rocket Drive, Asheville, NC 28803",-82.476291,35.546776,Buncombe County Schools,59.20,C,60.80,2.00
Buncombe,3,16.60,53960,110304,Reynolds High,Asheville,"1 Rocket Drive, Asheville, NC 28803",-82.477241,35.545811,Buncombe County Schools,37.20,B,68.40,2.00
